sequence_id,position,gc_content
MZ781228.1,4300,19.0
MZ781228.1,4350,18.6
MZ781228.1,4400,18.4
MZ781228.1,4450,19.6
MZ781228.1,4500,21.0
MZ781228.1,4550,21.4
MZ781228.1,4600,20.4
MZ781228.1,4650,22.6
MZ781228.1,4700,22.4
MZ781228.1,4750,21.6
MZ781228.1,4800,23.0
MZ781228.1,4850,24.0
MZ781228.1,4900,24.8
MZ781228.1,4950,24.4
MZ781228.1,5000,23.4
MZ781228.1,5050,24.6
MZ781228.1,5100,26.0
MZ781228.1,5150,25.2
MZ781228.1,5200,25.8
MZ781228.1,5250,24.8
MZ781228.1,5300,22.6
MZ781228.1,5350,21.4
MZ781228.1,5400,19.8
MZ781228.1,5450,22.0
MZ781228.1,5500,21.2
MZ781228.1,5550,20.0
MZ781228.1,5600,18.2
MZ781228.1,5650,18.0
MZ781228.1,5700,16.2
MZ781228.1,5750,16.8
MZ781228.1,5800,18.0
MZ781228.1,5850,18.8
MZ781228.1,5900,19.8
MZ781228.1,5950,16.2
MZ781228.1,6000,15.6
MZ781228.1,6050,14.8
MZ781228.1,6100,15.0
MZ781228.1,6150,12.8
MZ781228.1,6200,11.8
MZ781228.1,6250,12.6
MZ781228.1,6300,11.8
MZ781228.1,6350,11.4
MZ781228.1,6400,10.0
MZ781228.1,6450,10.8
MZ781228.1,6500,11.2
MZ781228.1,6550,11.6
MZ781228.1,6600,12.0
MZ781228.1,6650,13.2
MZ781228.1,6700,14.0
MZ781228.1,6750,13.6
MZ781228.1,6800,14.2
MZ781228.1,6850,15.4
MZ781228.1,6900,16.8
MZ781228.1,6950,18.2
MZ781228.1,7000,18.8
MZ781228.1,7050,19.6
MZ781228.1,7100,19.8
MZ781228.1,7150,20.8
MZ781228.1,7200,24.0
MZ781228.1,7250,24.6
MZ781228.1,7300,24.2
MZ781228.1,7350,23.6
MZ781228.1,7400,24.6
MZ781228.1,7450,23.4
MZ781228.1,7500,24.0
MZ781228.1,7550,22.8
MZ781228.1,7600,22.6
MZ781228.1,7650,21.6
MZ781228.1,7700,18.8
MZ781228.1,7750,16.8
MZ781228.1,7800,16.2
MZ781228.1,7850,15.8
MZ781228.1,7900,13.4
MZ781228.1,7950,13.0
MZ781228.1,8000,12.8
MZ781228.1,8050,14.6
MZ781228.1,8100,14.8
MZ781228.1,8150,15.4
MZ781228.1,8200,15.8
MZ781228.1,8250,16.6
MZ781228.1,8300,17.8
MZ781228.1,8350,18.4
MZ781228.1,8400,20.4
MZ781228.1,8450,21.0
MZ781228.1,8500,20.6
MZ781228.1,8550,20.2
MZ781228.1,8600,21.8
MZ781228.1,8650,21.8
MZ781228.1,8700,20.6
MZ781228.1,8750,19.0
MZ781228.1,8800,18.0
MZ781228.1,8850,19.4
MZ781228.1,8900,17.6
MZ781228.1,8950,17.2
MZ781228.1,9000,16.4
MZ781228.1,9050,15.6
MZ781228.1,9100,14.2
MZ781228.1,9150,12.6
MZ781228.1,9200,13.0
MZ781228.1,9250,13.6
MZ781228.1,9300,14.8
MZ781228.1,9350,12.8
MZ781228.1,9400,12.2
MZ781228.1,9450,12.2
MZ781228.1,9500,12.2
MZ781228.1,9550,12.6
MZ781228.1,9600,12.6
MZ781228.1,9650,13.4
MZ781228.1,9700,13.0
MZ781228.1,9750,14.6
MZ781228.1,9800,13.8
MZ781228.1,9850,14.0
MZ781228.1,9900,15.2
MZ781228.1,9950,14.8
MZ781228.1,10000,14.4
MZ781228.1,10050,13.0
MZ781228.1,10100,12.2
MZ781228.1,10150,12.2
MZ781228.1,10200,13.4
MZ781228.1,10250,13.0
MZ781228.1,10300,14.4
MZ781228.1,10350,14.6
MZ781228.1,10400,14.4
MZ781228.1,10450,16.8
MZ781228.1,10500,18.6
MZ781228.1,10550,19.8
MZ781228.1,10600,21.8
MZ781228.1,10650,23.6
MZ781228.1,10700,24.6
MZ781228.1,10750,25.4
MZ781228.1,10800,23.4
MZ781228.1,10850,24.0
MZ781228.1,10900,23.8
MZ781228.1,10950,23.2
MZ781228.1,11000,24.0
MZ781228.1,11050,25.4
MZ781228.1,11100,24.8
MZ781228.1,11150,23.4
MZ781228.1,11200,21.8
MZ781228.1,11250,22.8
MZ781228.1,11300,23.0
MZ781228.1,11350,21.2
MZ781228.1,11400,22.0
MZ781228.1,11450,20.0
MZ781228.1,11500,18.2
MZ781228.1,11550,18.0
MZ781228.1,11600,16.8
MZ781228.1,11650,16.8
MZ781228.1,11700,18.2
MZ781228.1,11750,18.0
MZ781228.1,11800,19.6
MZ781228.1,11850,20.6
MZ781228.1,11900,19.6
MZ781228.1,11950,22.8
MZ781228.1,12000,23.8
MZ781228.1,12050,22.8
MZ781228.1,12100,22.8
MZ781228.1,12150,22.4
MZ781228.1,12200,22.0
MZ781228.1,12250,21.8
MZ781228.1,12300,21.8
MZ781228.1,12350,21.2
MZ781228.1,12400,21.2
MZ781228.1,12450,19.2
MZ781228.1,12500,18.2
MZ781228.1,12550,19.4
MZ781228.1,12600,20.8
MZ781228.1,12650,22.4
MZ781228.1,12700,22.2
MZ781228.1,12750,20.6
MZ781228.1,12800,19.2
MZ781228.1,12850,18.2
MZ781228.1,12900,19.6
MZ781228.1,12950,19.2
MZ781228.1,13000,21.0
MZ781228.1,13050,21.8
MZ781228.1,13100,21.2
MZ781228.1,13150,19.4
MZ781228.1,13200,17.8
MZ781228.1,13250,16.6
MZ781228.1,13300,15.2
MZ781228.1,13350,15.8
MZ781228.1,13400,14.2
MZ781228.1,13450,13.4
MZ781228.1,13500,11.4
MZ781228.1,13550,9.2
MZ781228.1,13600,8.8
MZ781228.1,13650,8.0
MZ781228.1,13700,8.6
MZ781228.1,13750,9.4
MZ781228.1,13800,10.8
MZ781228.1,13850,12.8
MZ781228.1,13900,15.0
MZ781228.1,13950,16.6
MZ781228.1,14000,17.0
MZ781228.1,14050,17.0
MZ781228.1,14100,16.4
MZ781228.1,14150,17.0
MZ781228.1,14200,18.4
MZ781228.1,14250,19.2
MZ781228.1,14300,19.0
MZ781228.1,14350,17.2
MZ781228.1,14400,14.2
MZ781228.1,14450,14.6
MZ781228.1,14500,13.6
MZ781228.1,14550,12.8
MZ781228.1,14600,12.4
MZ781228.1,14650,11.6
MZ781228.1,14700,10.0
MZ781228.1,14750,8.6
MZ781228.1,14800,7.4
MZ781228.1,14850,6.8
MZ781228.1,14900,6.8
MZ781228.1,14950,5.2
